Rapport d'historique de trading,,,,,,,,,,,,,
Nom:,,,My Funded FX - One Step Challenge - Sebastien MORAZZANI-MARIGNY,,,,,,,,,,
Compte:,,,"3095006 (USD, ThinkMarkets-Demo, demo, Hedge)",,,,,,,,,,
Courtier:,,,TF Global Markets (Aust) Pty Ltd,,,,,,,,,,
Date:,,,2023.12.05 14:06,,,,,,,,,,
Positions,,,,,,,,,,,,,
Heure,Position,Symbole,Type,Volume,Prix,S / L,T / P,Heure,Prix,Commission,Echange,Profit,
2023.11.30 13:10:31,47146131,EURUSDx,sell,out,0.63, 1.09136,55692593,0.00,0.00,0.00,- 22.68,4 943.30,[sl 1.09136]
2023.11.30 13:13:59,47147281,EURUSDx,buy,in,0.63, 1.09155,55693770,- 4.41,0.00,0.00,0.00,4 938.89,
2023.11.30 13:19:42,47149219,EURUSDx,sell,out,0.63, 1.09112,55695768,0.00,0.00,0.00,- 27.09,4 911.80,[sl 1.09112]
2023.12.01 17:17:00,47912361,EURUSDx,sell,in,0.42, 1.08490,56474042,- 2.94,0.00,0.00,0.00,4 908.86,
2023.12.01 17:19:12,47915113,EURUSDx,buy,out,0.42, 1.08546,56476918,0.00,0.00,0.00,- 23.52,4 885.34,[sl 1.08546]
2023.12.01 17:27:03,47929840,EURUSDx,sell,in,0.42, 1.08492,56491408,- 2.94,0.00,0.00,0.00,4 882.40,
2023.12.01 18:01:19,47961469,EURUSDx,buy,out,0.42, 1.08291,56523839,0.00,0.00,0.00, 84.42,4 966.82,[tp 1.08291]
2023.12.04 11:05:56,48406001,EURUSDx,buy,in,0.03, 1.08691,57001842,- 0.21,0.00,0.00,0.00,4 966.61,
2023.12.04 11:15:01,48411817,EURUSDx,buy,in,0.22, 1.08702,57007735,- 1.54,0.00,0.00,0.00,4 965.07,
2023.12.04 11:15:28,48411987,EURUSDx,buy,in,0.45, 1.08708,57007917,- 3.15,0.00,0.00,0.00,4 961.92,
